Questions,Responses,Count
What city do you work in or nearest to?,Aarhus,12
What city do you work in or nearest to?,Copenhagen,8
What city do you work in or nearest to?,Malmö,2
What city do you work in or nearest to?,Odense,7
What city do you work in or nearest to?,"Potsdam, Germany",1
What gender do you identify with?,Man,13
What gender do you identify with?,Woman,17
How do you perceive your skill/knowledge of... [data analysis in general?],Advanced,2
How do you perceive your skill/knowledge of... [data analysis in general?],Beginner,3
How do you perceive your skill/knowledge of... [data analysis in general?],Beginner-Intermediate,10
How do you perceive your skill/knowledge of... [data analysis in general?],Intermediate,11
How do you perceive your skill/knowledge of... [data analysis in general?],Intermediate-Advanced,4
How do you perceive your skill/knowledge of... [formal version control (e.g. Git)?],Beginner,24
How do you perceive your skill/knowledge of... [formal version control (e.g. Git)?],Beginner-Intermediate,6
How do you perceive your skill/knowledge of... [managing data in general?],Advanced,2
How do you perceive your skill/knowledge of... [managing data in general?],Beginner,7
How do you perceive your skill/knowledge of... [managing data in general?],Beginner-Intermediate,12
How do you perceive your skill/knowledge of... [managing data in general?],Intermediate,5
How do you perceive your skill/knowledge of... [managing data in general?],Intermediate-Advanced,4
How do you perceive your skill/knowledge of... [programming in general?],Beginner,17
How do you perceive your skill/knowledge of... [programming in general?],Beginner-Intermediate,9
How do you perceive your skill/knowledge of... [programming in general?],Intermediate,3
How do you perceive your skill/knowledge of... [programming in general?],Intermediate-Advanced,1
How do you perceive your skill/knowledge of... [using R?],Beginner,14
How do you perceive your skill/knowledge of... [using R?],Beginner-Intermediate,12
How do you perceive your skill/knowledge of... [using R?],Intermediate,3
How do you perceive your skill/knowledge of... [using R?],Intermediate-Advanced,1
How do you perceive your skill/knowledge of... [writing in or using R Markdown?],Beginner,16
How do you perceive your skill/knowledge of... [writing in or using R Markdown?],Beginner-Intermediate,11
How do you perceive your skill/knowledge of... [writing in or using R Markdown?],Intermediate,2
How do you perceive your skill/knowledge of... [writing in or using R Markdown?],Intermediate-Advanced,1
What programs have you previously used for data analysis?,Excel,2
What programs have you previously used for data analysis?,"Excel, GraphPad Prism",4
What programs have you previously used for data analysis?,GraphPad Prism,3
What programs have you previously used for data analysis?,None,3
What programs have you previously used for data analysis?,"Python, Excel",1
What programs have you previously used for data analysis?,"Python, Excel, GraphPad Prism",1
What programs have you previously used for data analysis?,"SAS/SAS JMP, Stata, R",1
What programs have you previously used for data analysis?,SPSS,3
What programs have you previously used for data analysis?,"SPSS, Excel, GraphPad Prism",3
What programs have you previously used for data analysis?,"SPSS, Stata",2
What programs have you previously used for data analysis?,"SPSS, Stata, Excel",1
What programs have you previously used for data analysis?,Stata,3
What programs have you previously used for data analysis?,"Stata, Excel",1
What programs have you previously used for data analysis?,"Stata, Excel, GraphPad Prism",1
What programs have you previously used for data analysis?,"Stata, GraphPad Prism",1
What is your formal position?,PhD student,15
What is your formal position?,Postdoc,12
What is your formal position?,Researcher,3
